TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
214-09-30,BANKNIFTY,0.0,0.0,1678.1,0.0,0.0,0.0,0.0,0.0,0.0,839.05,724.575,-114.47499999999991,-0.13643406233239963,591.485,0.0,0.0,0.0,0.0,neutral,0,0
214-10-01,BANKNIFTY,0.0,0.0,0.0,1449.15,0.0,0.0,0.0,0.0,0.0,724.575,73.275,-651.3000000000001,-0.8988717524065832,652.95,0.0,0.0,0.0,0.0,neutral,0,0
214-10-13,BANKNIFTY,5885610.764278636,0.0,146.55,0.0,0.0,0.0,-48698509.03735405,0.0,-0.0,73.275,724.35,651.075,8.885363357215967,634.01,-48698509.03735405,0.0,-48698509.03735405,5885610.764278636,bullish,1,1
214-10-27,BANKNIFTY,0.0,0.0,0.0,1448.7,0.0,-273780.0518201077,0.0,0.0,0.0,724.35,-6875.580464392128,-7599.930464392129,-10.492069392409924,625.5550000000001,0.0,-273780.0518201077,0.0,0.0,neutral,0,1
214-10-30,BANKNIFTY,0.0,0.0,0.0,-13751.160928784257,0.0,40.0,0.0,1950.0,0.0,-6875.580464392128,527.5,7403.080464392128,-1.0767207950996813,-902.8660928784257,1950.0,40.0,-1950.0,0.0,neutral,1,0
214-11-05,BANKNIFTY,0.0,200.0,0.0,1055.0,0.0,8.0,0.0,200.0,0.0,527.5,527.875,0.375,0.0007109004739336493,-965.1760928784257,200.0,8.0,-200.0,200.0,bullish,1,0
214-11-07,BANKNIFTY,0.0,0.0,1055.75,0.0,0.0,0.0,0.0,0.0,0.0,527.875,29.475,-498.4,-0.9441629173573288,-1004.5160928784256,0.0,0.0,0.0,0.0,neutral,0,0
214-11-28,BANKNIFTY,0.0,26650.0,0.0,58.95,0.0,1831.0,0.0,30800.0,0.0,29.475,615.65,586.175,19.887192536047497,-1013.2760928784257,30800.0,1831.0,-30800.0,26650.0,bullish,1,1
214-12-01,BANKNIFTY,0.0,0.0,0.0,1231.3,0.0,-252713.3570905274,0.0,0.0,0.0,615.65,255.475,-360.17499999999995,-0.5850320799155364,-1035.0160928784258,0.0,-252713.3570905274,0.0,0.0,neutral,0,0
214-12-03,BANKNIFTY,0.0,0.0,510.95,0.0,0.0,0.0,0.0,0.0,0.0,255.475,9.175,-246.29999999999998,-0.9640865055289167,391.195,0.0,0.0,0.0,0.0,neutral,0,0
214-12-11,BANKNIFTY,-5350.0,0.0,18.35,0.0,22849.0,0.0,426900.0,0.0,0.0,9.175,106.725,97.55,10.632152588555858,287.53000000000003,426900.0,22849.0,426900.0,-5350.0,neutral,1,1
